OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Disability_Population_Total_Civilian_Noninstitutionalized,Disability_Population_Total_Under18_Civilian_Noninstitutionalize,Disability_TCNPop_With_A_Disability,Percent_Disability_TCNPop_With_A_Disability,Disability_Population_TCNPop_Age_Under_5,Disability_TCNPop_AgeUnder5_With_A_Disability,Percent_Disability_TCNPop_AgeUnder5_With_A_Disability,Disability_Population_TCNPop_Age5to17,Disability_TCNPop_Age5to17_With_A_Disability,Percent_Disability_TCNPop_Age5to17_With_A_Disability,Disability_Population_TCNPop_Age0to17,Disability_TCNPopAge0to17_With_A_Disability,Percent_Disability_TCNPop_Age0to17_With_A_Disability,Disability_TCNPop_With_A_Hearing_Difficulty,Percent_Disability_TCNPop_With_A_Hearing_Difficulty,Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Disability_TCNPop_With_A_Vision_Difficulty,Percent_Disability_TCNPop_With_A_Vision_Difficulty,Disability_TCNPop_With_A_Vision_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Vision_Difficulty_Under18,Disability_Population_TCNPop_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Disability_Population_TCNPop_Age_Over_17,Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty,Percent_Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty
652,08059012036,"Census Tract 120.36, Jefferson County, Colorado",08059012036,JEFFERSON,3998,70.7,3998,1111,245,6.1,189,0,0,922,24,2.6,1111,24,2.2,107,2.7,0,0,38,1,0,0,3809,54,1.4,24,2.6,79,2.1,0,0,24,0.6,0,0,2887,84,2.9
653,08059012051,"Census Tract 120.51, Jefferson County, Colorado",08059012051,JEFFERSON,3581,3545.5,3550,841,461,13,291,0,0,550,20,3.6,841,30,3.4,184,5.2,0,0,127,3.6,0,0,3259,191,5.9,20,3.6,251,7.7,0,0,126,3.9,0,0,2709,174,6.4
654,08059012055,"Census Tract 120.55, Jefferson County, Colorado",08059012055,JEFFERSON,3758,3997.9,3758,780,406,10.8,184,0,0,596,9,1.5,780,9,1.3,130,3.5,0,0,40,1.1,0,0,3574,157,4.4,9,1.5,157,4.4,9,1.5,108,3,9,1.5,2978,115,3.9
655,08059012052,"Census Tract 120.52, Jefferson County, Colorado",08059012052,JEFFERSON,5310,5709.7,5300,1184,232,4.4,310,0,0,874,23,2.6,1184,41,3.4,151,2.8,0,0,58,1.1,0,0,4990,23,0.5,23,2.6,69,1.4,0,0,39,0.8,0,0,4116,29,0.7
656,08059012046,"Census Tract 120.46, Jefferson County, Colorado",08059012046,JEFFERSON,2107,3975.5,2107,499,253,12,161,0,0,338,0,0,499,0,0,85,4,0,0,23,1.1,0,0,1946,89,4.6,0,0,108,5.5,0,0,11,0.6,0,0,1608,73,4.5
657,08059012024,"Census Tract 120.24, Jefferson County, Colorado",08059012024,JEFFERSON,5189,1673.9,5189,1303,337,6.5,241,0,0,1062,26,2.4,1303,9,0.7,113,2.2,16,1.2,19,0.4,0,0,4948,134,2.7,10,0.9,123,2.5,9,0.8,68,1.4,19,1.8,3886,105,2.7
658,08059012022,"Census Tract 120.22, Jefferson County, Colorado",08059012022,JEFFERSON,5827,3099.5,5827,1235,425,7.3,304,0,0,931,0,0,1235,0,0,103,1.8,0,0,56,1,0,0,5523,164,3,0,0,155,2.8,0,0,141,2.6,0,0,4592,169,3.7
659,08059012045,"Census Tract 120.45, Jefferson County, Colorado",08059012045,JEFFERSON,5901,5268.8,5901,1361,487,8.3,399,0,0,962,0,0,1361,0,0,90,1.5,0,0,29,0.5,0,0,5502,148,2.7,0,0,271,4.9,0,0,95,1.7,0,0,4540,174,3.8
660,08059011904,"Census Tract 119.04, Jefferson County, Colorado",08059011904,JEFFERSON,2121,2164.3,2098,265,334,15.9,88,0,0,177,0,0,265,22,7.1,135,6.4,0,0,86,4.1,0,0,2010,81,4,0,0,196,9.8,0,0,97,4.8,0,0,1833,155,8.5
661,08059011728,"Census Tract 117.28, Jefferson County, Colorado",08059011728,JEFFERSON,2841,5798,2841,570,284,10,118,0,0,452,17,3.8,570,20,4,145,5.1,0,0,0,0,0,0,2723,95,3.5,17,3.8,124,4.6,0,0,23,0.8,0,0,2271,54,2.4
662,08059011702,"Census Tract 117.02, Jefferson County, Colorado",08059011702,JEFFERSON,5476,5531.3,5382,881,793,14.7,258,0,0,623,64,10.3,881,0,0,331,6.2,33,3.7,115,2.1,31,3.5,5124,149,2.9,0,0,410,8,0,0,136,2.7,0,0,4501,258,5.7
663,08059011701,"Census Tract 117.01, Jefferson County, Colorado",08059011701,JEFFERSON,4800,3243.2,4800,958,648,13.5,174,0,0,784,44,5.6,958,20,2.1,237,4.9,0,0,120,2.5,25,2.6,4626,231,5,11,1.4,315,6.8,19,2.4,132,2.9,11,1.4,3842,223,5.8
664,08059012049,"Census Tract 120.49, Jefferson County, Colorado",08059012049,JEFFERSON,4043,4003,4019,997,286,7.1,201,0,0,796,8,1,997,12,1.3,142,3.5,0,0,54,1.3,0,0,3818,93,2.4,8,1,97,2.5,0,0,46,1.2,0,0,3022,84,2.8
665,08059011730,"Census Tract 117.30, Jefferson County, Colorado",08059011730,JEFFERSON,3466,4683.8,3466,742,311,9,235,0,0,507,0,0,742,0,0,135,3.9,0,0,65,1.9,0,0,3231,161,5,0,0,153,4.7,0,0,11,0.3,0,0,2724,103,3.8
666,08059011727,"Census Tract 117.27, Jefferson County, Colorado",08059011727,JEFFERSON,3646,3682.8,3640,735,408,11.2,88,0,0,647,4,0.6,735,8,1.2,167,4.6,0,0,28,0.8,0,0,3552,101,2.8,4,0.6,121,3.4,0,0,44,1.2,0,0,2905,132,4.5
667,08059012053,"Census Tract 120.53, Jefferson County, Colorado",08059012053,JEFFERSON,3985,4066.3,3985,866,357,9,229,0,0,637,17,2.7,866,15,1.5,152,3.8,0,0,48,1.2,0,0,3756,93,2.5,17,2.7,146,3.9,0,0,34,0.9,0,0,3119,106,3.4
668,08059011202,"Census Tract 112.02, Jefferson County, Colorado",08059011202,JEFFERSON,4929,3308.1,4929,893,461,9.4,228,0,0,665,36,5.4,893,25,2.7,214,4.3,14,1.6,171,3.5,15,1.7,4701,92,2,7,1.1,191,4.1,0,0,61,1.3,0,0,4036,150,3.7
669,08059011804,"Census Tract 118.04, Jefferson County, Colorado",08059011804,JEFFERSON,4344,5870.3,4344,686,515,11.9,149,0,0,537,28,5.2,686,32,4.1,260,6,0,0,120,2.8,0,0,4195,149,3.6,28,5.2,236,5.6,0,0,53,1.3,0,0,3658,123,3.4
670,08059011708,"Census Tract 117.08, Jefferson County, Colorado",08059011708,JEFFERSON,3881,4001,3881,659,492,12.7,124,0,0,535,14,2.6,659,16,2.5,175,4.5,0,0,57,1.5,0,0,3757,154,4.1,14,2.6,296,7.9,0,0,43,1.1,0,0,3222,155,4.8
672,08059011711,"Census Tract 117.11, Jefferson County, Colorado",08059011711,JEFFERSON,4181,4977.4,4181,747,406,9.7,120,10,8.3,627,70,11.2,747,80,10.6,84,2,15,2,72,1.7,16,2.1,4061,143,3.5,12,1.9,216,5.3,43,6.9,67,1.6,10,1.6,3434,132,3.8
673,08059011951,"Census Tract 119.51, Jefferson County, Colorado",08059011951,JEFFERSON,3335,2951.3,3335,655,233,7,140,0,0,515,11,2.1,655,0,0,51,1.5,0,0,44,1.3,0,0,3195,121,3.8,11,2.1,130,4.1,0,0,55,1.7,0,0,2680,94,3.5
674,08059012038,"Census Tract 120.38, Jefferson County, Colorado",08059012038,JEFFERSON,3670,2912.7,3670,883,232,6.3,230,0,0,653,0,0,883,0,0,82,2.2,0,0,16,0.4,0,0,3440,93,2.7,0,0,104,3,0,0,12,0.3,0,0,2787,56,2
675,08059011725,"Census Tract 117.25, Jefferson County, Colorado",08059011725,JEFFERSON,1744,4471.8,1744,339,122,7,81,0,0,258,5,1.9,339,7,2.2,56,3.2,5,1.5,17,1,0,0,1663,45,2.7,0,0,70,4.2,0,0,22,1.3,0,0,1405,28,2
676,08059011721,"Census Tract 117.21, Jefferson County, Colorado",08059011721,JEFFERSON,2644,2698,2644,472,160,6.1,117,0,0,355,0,0,472,7,1.5,74,2.8,0,0,38,1.4,0,0,2527,51,2,0,0,104,4.1,0,0,21,0.8,0,0,2172,48,2.2
677,08059012034,"Census Tract 120.34, Jefferson County, Colorado",08059012034,JEFFERSON,3642,419.6,3642,731,291,8,111,0,0,620,21,3.4,731,16,2.3,91,2.5,0,0,23,0.6,0,0,3531,107,3,21,3.4,135,3.8,0,0,23,0.7,0,0,2911,118,4.1
678,08059011710,"Census Tract 117.10, Jefferson County, Colorado",08059011710,JEFFERSON,4036,5454.1,4028,823,502,12.5,333,0,0,490,13,2.7,823,27,3.2,175,4.3,0,0,81,2,0,0,3695,106,2.9,13,2.7,147,4,0,0,19,0.5,0,0,3205,106,3.3
679,08059011709,"Census Tract 117.09, Jefferson County, Colorado",08059011709,JEFFERSON,3435,4978.3,3435,496,383,11.1,104,0,0,392,0,0,496,9,1.8,196,5.7,0,0,51,1.5,0,0,3331,87,2.6,0,0,104,3.1,0,0,0,0,0,0,2939,61,2.1
680,08059011726,"Census Tract 117.26, Jefferson County, Colorado",08059011726,JEFFERSON,6638,3059,6638,1518,543,8.2,320,0,0,1198,13,1.1,1518,13,1,217,3.3,0,0,102,1.5,0,0,6318,214,3.4,13,1.1,216,3.4,0,0,57,0.9,0,0,5120,159,3.1
681,08059011601,"Census Tract 116.01, Jefferson County, Colorado",08059011601,JEFFERSON,3998,5476.7,3765,978,233,6.2,228,0,0,750,14,1.9,978,19,1.6,76,2,0,0,33,0.9,0,0,3537,89,2.5,14,1.9,118,3.3,0,0,23,0.7,0,0,2787,88,3.2
682,08059011731,"Census Tract 117.31, Jefferson County, Colorado",08059011731,JEFFERSON,4156,826.2,4156,844,239,5.8,248,0,0,596,18,3,844,16,2,116,2.8,0,0,29,0.7,0,0,3908,67,1.7,18,3,61,1.6,0,0,21,0.5,0,0,3312,42,1.3
683,08059011550,"Census Tract 115.50, Jefferson County, Colorado",08059011550,JEFFERSON,5983,3962.3,5828,1133,822,14.1,179,0,0,954,0,0,1133,31,2.1,189,3.2,0,0,197,3.4,0,0,5649,315,5.6,0,0,611,10.8,0,0,115,2,0,0,4695,383,8.2
684,08059011300,"Census Tract 113, Jefferson County, Colorado",08059011300,JEFFERSON,3047,6094,3047,511,466,15.3,170,0,0,341,31,9.1,511,29,5.6,95,3.1,0,0,120,3.9,31,6.1,2877,227,7.9,15,4.4,221,7.7,15,4.4,59,2.1,15,4.4,2536,140,5.5
685,08059010702,"Census Tract 107.02, Jefferson County, Colorado",08059010702,JEFFERSON,5740,8968.8,5666,1202,679,12,452,0,0,750,35,4.7,1202,29,2.3,210,3.7,10,0.8,70,1.2,0,0,5214,178,3.4,25,3.3,257,4.9,0,0,53,1,0,0,4464,186,4.2
686,08059010701,"Census Tract 107.01, Jefferson County, Colorado",08059010701,JEFFERSON,4429,5210.6,4349,610,671,15.4,166,0,0,444,0,0,610,10,1.6,254,5.8,0,0,84,1.9,0,0,4183,134,3.2,0,0,322,7.7,0,0,71,1.7,0,0,3739,139,3.7
687,08059012043,"Census Tract 120.43, Jefferson County, Colorado",08059012043,JEFFERSON,5649,3284.3,5649,1291,388,6.9,204,0,0,1087,59,5.4,1291,39,2.9,154,2.7,7,0.5,63,1.1,8,0.6,5445,167,3.1,59,5.4,165,3,0,0,33,0.6,0,0,4358,90,2.1
688,08059010502,"Census Tract 105.02, Jefferson County, Colorado",08059010502,JEFFERSON,5160,2243.5,5137,927,598,11.6,250,0,0,677,0,0,927,0,0,293,5.7,0,0,134,2.6,0,0,4887,172,3.5,0,0,229,4.7,0,0,78,1.6,0,0,4210,179,4.3
689,08059010604,"Census Tract 106.04, Jefferson County, Colorado",08059010604,JEFFERSON,2401,3334.7,2401,537,356,14.8,160,13,8.1,377,2,0.5,537,16,3.4,85,3.5,14,2.6,70,2.9,0,0,2241,130,5.8,1,0.3,209,9.3,0,0,121,5.4,0,0,1864,149,8
690,08059011000,"Census Tract 110, Jefferson County, Colorado",08059011000,JEFFERSON,6162,4108,5882,1434,648,11,317,0,0,1117,70,6.3,1434,34,2.5,254,4.3,15,1,61,1,0,0,5565,269,4.8,55,4.9,314,5.6,15,1.3,225,4,0,0,4448,324,7.3
691,08059010902,"Census Tract 109.02, Jefferson County, Colorado",08059010902,JEFFERSON,2711,2632,2711,578,447,16.5,135,0,0,443,64,14.4,578,52,11.5,131,4.8,34,5.9,159,5.9,0,0,2576,138,5.4,39,8.8,205,8,9,2,123,4.8,18,4.1,2133,94,4.4
692,08059010801,"Census Tract 108.01, Jefferson County, Colorado",08059010801,JEFFERSON,2651,3313.8,2651,461,318,12,130,0,0,331,17,5.1,461,17,3.5,64,2.4,0,0,63,2.4,0,0,2521,134,5.3,17,5.1,204,8.1,0,0,63,2.5,0,0,2190,130,5.9
693,08059010504,"Census Tract 105.04, Jefferson County, Colorado",08059010504,JEFFERSON,2845,3196.6,2845,563,216,7.6,184,0,0,379,6,1.6,563,6,1,103,3.6,0,0,30,1.1,0,0,2661,83,3.1,6,1.6,114,4.3,0,0,27,1,0,0,2282,58,2.5
694,08059010503,"Census Tract 105.03, Jefferson County, Colorado",08059010503,JEFFERSON,4436,2899.3,4414,766,901,20.4,202,0,0,564,18,3.2,766,26,3.3,405,9.2,0,0,139,3.1,0,0,4212,270,6.4,18,3.2,544,12.9,0,0,183,4.3,0,0,3648,368,10.1
695,08059010403,"Census Tract 104.03, Jefferson County, Colorado",08059010403,JEFFERSON,4944,3129.1,4944,874,617,12.5,293,0,0,581,10,1.7,874,12,1.5,183,3.7,0,0,29,0.6,0,0,4651,277,6,10,1.7,341,7.3,0,0,103,2.2,0,0,4070,293,7.2
696,08059012044,"Census Tract 120.44, Jefferson County, Colorado",08059012044,JEFFERSON,4072,2593.6,4072,914,197,4.8,274,0,0,640,38,5.9,914,29,3.5,41,1,0,0,31,0.8,0,0,3798,82,2.2,38,5.9,115,3,25,3.9,33,0.9,25,3.9,3158,38,1.2
697,08059010308,"Census Tract 103.08, Jefferson County, Colorado",08059010308,JEFFERSON,5821,3079.9,5821,1180,794,13.6,377,0,0,803,120,14.9,1180,89,8.8,236,4.1,41,3.5,149,2.6,0,0,5444,266,4.9,79,9.8,239,4.4,0,0,133,2.4,0,0,4641,262,5.6
698,08035014112,"Census Tract 141.12, Douglas County, Colorado",08035014112,DOUGLAS,4143,6373.8,4143,1102,278,6.7,274,0,0,828,31,3.7,1102,60,4.9,98,2.4,0,0,11,0.3,0,0,3869,110,2.8,18,2.2,111,2.9,0,0,74,1.9,0,0,3041,156,5.1
699,08035014110,"Census Tract 141.10, Douglas County, Colorado",08035014110,DOUGLAS,5892,5665.4,5840,1682,397,6.8,501,0,0,1181,17,1.4,1682,39,2.5,137,2.3,0,0,71,1.2,0,0,5339,119,2.2,17,1.4,106,2,0,0,0,0,0,0,4158,123,3
700,08035014109,"Census Tract 141.09, Douglas County, Colorado",08035014109,DOUGLAS,2902,4918.6,2871,574,322,11.2,96,0,0,478,30,6.3,574,24,4.2,153,5.3,0,0,51,1.8,0,0,2775,58,2.1,16,3.3,135,4.9,7,1.5,43,1.5,7,1.5,2297,85,3.7
701,08035014108,"Census Tract 141.08, Douglas County, Colorado",08035014108,DOUGLAS,4805,4004.2,4805,1238,324,6.7,227,0,0,1011,36,3.6,1238,18,1.3,201,4.2,10,0.8,45,0.9,0,0,4578,108,2.4,26,2.6,101,2.2,0,0,54,1.2,0,0,3567,63,1.8
702,08035014202,"Census Tract 142.02, Douglas County, Colorado",08035014202,DOUGLAS,1844,37.2,1844,357,165,8.9,47,0,0,310,0,0,357,0,0,57,3.1,0,0,19,1,0,0,1797,39,2.2,0,0,73,4.1,0,0,0,0,0,0,1487,26,1.7
703,08035014116,"Census Tract 141.16, Douglas County, Colorado",08035014116,DOUGLAS,6179,4012.3,6147,1442,259,4.2,364,0,0,1078,41,3.8,1442,28,2.4,42,0.7,27,1.9,14,0.2,0,0,5783,120,2.1,14,1.3,80,1.4,0,0,46,0.8,14,1.3,4705,67,1.4
704,08035014300,"Census Tract 143, Douglas County, Colorado",08035014300,DOUGLAS,772,4.1,772,74,145,18.8,32,0,0,42,0,0,74,0,0,49,6.3,0,0,48,6.2,0,0,740,24,3.2,0,0,37,5,0,0,24,3.2,0,0,698,51,7.3
705,08035014107,"Census Tract 141.07, Douglas County, Colorado",08035014107,DOUGLAS,3795,3580.2,3795,1021,254,6.7,259,0,0,762,58,7.6,1021,52,4.9,79,2.1,0,0,45,1.2,26,2.5,3536,114,3.2,58,7.6,116,3.3,12,1.6,88,2.5,0,0,2774,108,3.9
706,08035014122,"Census Tract 141.22, Douglas County, Colorado",08035014122,DOUGLAS,7211,1363.1,7211,2249,300,4.2,215,0,0,2034,79,3.9,2249,61,2.4,157,2.2,15,0.7,79,1.1,52,2.3,6996,63,0.9,27,1.3,66,0.9,0,0,51,0.7,15,0.7,4962,52,1
707,08035014602,"Census Tract 146.02, Douglas County, Colorado",08035014602,DOUGLAS,2657,32.1,2657,469,204,7.7,75,0,0,394,0,0,469,0,0,96,3.6,0,0,33,1.2,0,0,2582,38,1.5,0,0,90,3.5,0,0,37,1.4,0,0,2188,73,3.3
708,08035013901,"Census Tract 139.01, Douglas County, Colorado",08035013901,DOUGLAS,7698,433.9,7686,1691,819,10.7,182,0,0,1509,50,3.3,1691,45,2.6,262,3.4,0,0,203,2.6,0,0,7504,148,2,50,3.3,424,5.7,0,0,32,0.4,0,0,5995,125,2.1
709,08035014503,"Census Tract 145.03, Douglas County, Colorado",08035014503,DOUGLAS,5598,1546.4,5598,1375,544,9.7,483,0,0,892,59,6.6,1375,59,4.4,229,4.1,13,0.9,105,1.9,16,1.2,5115,184,3.6,43,4.8,165,3.2,13,1.5,33,0.6,13,1.5,4223,106,2.5
710,08035013909,"Census Tract 139.09, Douglas County, Colorado",08035013909,DOUGLAS,6305,257.9,6305,1665,325,5.2,418,0,0,1247,0,0,1665,0,0,138,2.2,0,0,41,0.7,0,0,5887,108,1.8,0,0,164,2.8,0,0,13,0.2,0,0,4640,74,1.6
711,08101003600,"Census Tract 36, Pueblo County, Colorado",08101003600,PUEBLO,2143,3.7,1983,588,589,29.7,95,0,0,493,10,2,588,8,1.3,164,8.3,0,0,158,8,0,0,1888,269,14.2,10,2,255,13.5,0,0,58,3.1,5,1,1395,263,18.9
712,08101003500,"Census Tract 35, Pueblo County, Colorado",08101003500,PUEBLO,1743,898.5,1550,46,710,45.8,39,0,0,7,0,0,46,0,0,209,13.5,0,0,115,7.4,0,0,1511,263,17.4,0,0,510,33.8,0,0,169,11.2,0,0,1504,248,16.5
713,08101002916,"Census Tract 29.16, Pueblo County, Colorado",08101002916,PUEBLO,3082,3177.3,3082,725,714,23.2,92,0,0,633,63,10,725,44,5.7,192,6.2,0,0,90,2.9,0,0,2990,234,7.8,63,10,505,16.9,0,0,181,6.1,0,0,2357,287,12.2
714,08101002914,"Census Tract 29.14, Pueblo County, Colorado",08101002914,PUEBLO,3521,1760.5,3505,1082,482,13.8,260,0,0,822,56,6.8,1082,41,3.9,244,7,28,2.6,29,0.8,0,0,3245,246,7.6,38,4.6,140,4.3,0,0,55,1.7,18,2.2,2423,130,5.4
715,08063962200,"Census Tract 9622, Kit Carson County, Colorado",08063962200,KIT CARSON,1384,2.2,1364,379,190,13.9,108,0,0,271,20,7.4,379,18,4.6,40,2.9,2,0.5,49,3.6,0,0,1256,52,4.1,18,6.6,103,8.2,0,0,30,2.4,0,0,985,37,3.8
716,08063962300,"Census Tract 9623, Kit Carson County, Colorado",08063962300,KIT CARSON,994,1.2,994,199,212,21.3,46,0,0,153,11,7.2,199,17,8.2,98,9.9,2,1,60,6,0,0,948,61,6.4,9,5.9,132,13.9,4,2.6,39,4.1,4,2.6,795,56,7
717,08063962100,"Census Tract 9621, Kit Carson County, Colorado",08063962100,KIT CARSON,5468,7.4,4765,1214,764,16,339,0,0,875,97,11.1,1214,84,7,247,5.2,0,0,77,1.6,31,2.6,4426,226,5.1,66,7.5,352,8,0,0,120,2.7,7,0.8,3551,160,4.5
718,08101002912,"Census Tract 29.12, Pueblo County, Colorado",08101002912,PUEBLO,1816,1210.7,1802,403,280,15.5,94,0,0,309,38,12.3,403,38,9.5,96,5.3,6,1.5,12,0.7,6,1.5,1708,131,7.7,32,10.4,126,7.4,19,6.1,31,1.8,25,8.1,1399,81,5.8
720,08101002917,"Census Tract 29.17, Pueblo County, Colorado",08101002917,PUEBLO,3075,189.1,3075,749,402,13.1,283,0,0,466,7,1.5,749,34,4.5,208,6.8,7,0.9,80,2.6,0,0,2792,106,3.8,7,1.5,236,8.5,0,0,44,1.6,0,0,2326,59,2.5
721,08101003106,"Census Tract 31.06, Pueblo County, Colorado",08101003106,PUEBLO,1300,88.2,1229,224,209,17,42,0,0,182,0,0,224,7,4,90,7.3,0,0,17,1.4,0,0,1187,69,5.8,0,0,135,11.4,0,0,16,1.3,0,0,1005,36,3.6
722,08101003105,"Census Tract 31.05, Pueblo County, Colorado",08101003105,PUEBLO,3355,555.5,3355,780,463,13.8,182,16,8.8,598,0,0,780,27,3.2,201,6,16,2.1,59,1.8,0,0,3173,150,4.7,0,0,142,4.5,0,0,69,2.2,0,0,2575,167,6.5
723,08101002915,"Census Tract 29.15, Pueblo County, Colorado",08101002915,PUEBLO,2459,2215.3,2459,707,310,12.6,135,0,0,572,10,1.7,707,28,3.9,110,4.5,0,0,46,1.9,0,0,2324,138,5.9,10,1.7,151,6.5,0,0,54,2.3,0,0,1752,138,7.9
724,08101002918,"Census Tract 29.18, Pueblo County, Colorado",08101002918,PUEBLO,6603,46.7,6603,1757,663,10,408,16,3.9,1349,86,6.4,1757,91,5.1,295,4.5,34,1.9,94,1.4,29,1.7,6195,157,2.5,35,2.6,259,4.2,4,0.3,117,1.9,11,0.8,4846,103,2.1
725,08101002913,"Census Tract 29.13, Pueblo County, Colorado",08101002913,PUEBLO,3240,1687.5,3240,544,413,12.7,103,0,0,441,40,9.1,544,34,5.4,216,6.7,0,0,9,0.3,0,0,3137,134,4.3,22,5,161,5.1,40,9.1,88,2.8,22,5,2696,116,4.3
726,08101002911,"Census Tract 29.11, Pueblo County, Colorado",08101002911,PUEBLO,2787,405.7,2787,752,304,10.9,120,0,0,632,25,4,752,22,3,101,3.6,0,0,59,2.1,17,2.3,2667,56,2.1,0,0,120,4.5,0,0,62,2.3,8,1.3,2035,87,4.3
727,08101000903,"Census Tract 9.03, Pueblo County, Colorado",08101000903,PUEBLO,769,1922.5,769,8,29,3.8,8,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,761,13,1.7,0,,16,2.1,0,,0,0,0,,761,0,0
728,08101002600,"Census Tract 26, Pueblo County, Colorado",08101002600,PUEBLO,3824,4202.2,3635,1117,980,27,424,0,0,693,72,10.4,1117,80,7.8,297,8.2,22,2,260,7.2,0,0,3211,372,11.6,19,2.7,600,18.7,31,4.5,118,3.7,0,0,2518,318,12.6
729,08101002801,"Census Tract 28.01, Pueblo County, Colorado",08101002801,PUEBLO,5367,6389.3,5218,1277,1202,23,370,47,12.7,907,81,8.9,1277,112,9.6,405,7.8,65,5.1,156,3,0,0,4848,480,9.9,81,8.9,712,14.7,63,6.9,221,4.6,63,6.9,3941,546,13.9
730,08101002000,"Census Tract 20, Pueblo County, Colorado",08101002000,PUEBLO,3236,4432.9,3236,723,831,25.7,221,0,0,502,46,9.2,723,43,5.7,200,6.2,26,3.6,154,4.8,19,2.6,3015,381,12.6,20,4,432,14.3,0,0,185,6.1,0,0,2513,285,11.3
731,08101001800,"Census Tract 18, Pueblo County, Colorado",08101001800,PUEBLO,2194,5223.8,2194,400,469,21.4,114,0,0,286,20,7,400,13,3,173,7.9,0,0,88,4,0,0,2080,184,8.8,17,5.9,275,13.2,0,0,86,4.1,0,0,1794,190,10.6
732,08101001900,"Census Tract 19, Pueblo County, Colorado",08101001900,PUEBLO,1403,3897.2,1403,246,271,19.3,61,0,0,185,25,13.5,246,9,4,76,5.4,0,0,39,2.8,5,2,1342,120,8.9,20,10.8,96,7.2,0,0,33,2.5,0,0,1157,77,6.7
733,08101002400,"Census Tract 24, Pueblo County, Colorado",08101002400,PUEBLO,1756,5321.2,1756,408,577,32.9,69,0,0,339,34,10,408,46,11.6,150,8.5,6,1.5,116,6.6,6,1.5,1687,232,13.8,28,8.3,388,23,12,3.5,149,8.8,23,6.8,1348,223,16.5
734,08101001400,"Census Tract 14, Pueblo County, Colorado",08101001400,PUEBLO,1290,3146.3,1290,313,376,29.1,63,0,0,250,65,26,313,34,11.7,90,7,0,0,76,5.9,0,0,1227,218,17.8,22,8.8,202,16.5,43,17.2,75,6.1,0,0,977,152,15.6
735,08101001700,"Census Tract 17, Pueblo County, Colorado",08101001700,PUEBLO,4662,3885,4662,989,810,17.4,225,20,8.9,764,86,11.3,989,63,6.6,372,8,63,6.4,128,2.7,20,2,4437,196,4.4,43,5.6,293,6.6,0,0,79,1.8,0,0,3673,194,5.3
736,08101000905,"Census Tract 9.05, Pueblo County, Colorado",08101000905,PUEBLO,2204,7871.4,2204,488,375,17,243,0,0,245,9,3.7,488,7,1.5,107,4.9,0,0,21,1,0,0,1961,146,7.4,9,3.7,171,8.7,0,0,47,2.4,0,0,1716,126,7.3
737,08101003104,"Census Tract 31.04, Pueblo County, Colorado",08101003104,PUEBLO,2164,789.8,2164,418,370,17.1,91,0,0,327,13,4,418,4,0.9,130,6,0,0,17,0.8,0,0,2073,140,6.8,13,4,200,9.6,0,0,60,2.9,0,0,1746,97,5.6
738,08101002300,"Census Tract 23, Pueblo County, Colorado",08101002300,PUEBLO,3595,3126.1,3501,804,797,22.8,237,0,0,567,15,2.6,804,17,2.3,296,8.5,0,0,135,3.9,0,0,3264,263,8.1,15,2.6,535,16.4,0,0,179,5.5,8,1.4,2697,325,12.1
739,08101002200,"Census Tract 22, Pueblo County, Colorado",08101002200,PUEBLO,1469,4738.7,1469,395,392,26.7,96,0,0,299,51,17.1,395,62,14.9,117,8,14,3.5,67,4.6,0,0,1373,124,9,37,12.4,245,17.8,0,0,52,3.8,0,0,1074,125,11.6
740,08101002100,"Census Tract 21, Pueblo County, Colorado",08101002100,PUEBLO,1421,4440.6,1421,197,400,28.1,51,0,0,146,9,6.2,197,8,2.5,139,9.8,0,0,120,8.4,0,0,1370,187,13.6,9,6.2,288,21,0,0,85,6.2,0,0,1224,119,9.7
741,08101002802,"Census Tract 28.02, Pueblo County, Colorado",08101002802,PUEBLO,3565,2314.9,3565,632,935,26.2,185,0,0,447,49,11,632,48,8.1,310,8.7,0,0,227,6.4,0,0,3380,423,12.5,41,9.2,501,14.8,8,1.8,221,6.5,8,1.8,2933,341,11.6
